Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward
2000,0.5860249,0.0002999434,5.158143,45.06951,-20.938603976275772,1489.0,-20.938602447509766,0.0
4000,0.1403067,0.00029982268,100.05002,28.351837,-265.429036101792,1488.0,-265.42902797460556,0.0
6000,0.31958923,0.000299703,86.75868,29.015661,-77.77747363777598,1488.0,-56.53309613466263,348.0
8000,0.8270404,0.0002995834,86.63506,11.942645,-26.852148538804613,1488.0,-62.93699473142624,1500.0
10000,0.6809059,0.00029946264,-18.331202,61.441048,-15.07336426852271,1488.0,-15.0733642578125,1500.0
12000,0.43266642,0.00029934297,28.101702,51.549248,1.5290998723357916,1488.0,-14.94944280385971,1500.0
14000,0.8999867,0.00029922344,24.366564,45.281128,-13.929122437722981,1488.0,2.0392603129148483,1489.998420715332
16000,0.88629335,0.00029910268,57.385952,39.35836,-20.96883034321945,1488.0,-20.96883237361908,1500.0
18000,0.6745703,0.00029898295,-12.821264,58.922615,-14.578799656534102,1488.5,-15.396216988563538,1501.0
20000,0.8449433,0.0002988633,89.57193,17.493368,-55.12587109010201,1488.0,-34.44362397491932,775.8896691799164
22000,0.42065609,0.0002987426,20.27779,59.823242,-14.841540404129773,1488.0,-14.841540217399597,1232.9302291870117
24000,0.76275325,0.0002986229,83.87863,34.83458,-61.175781818747055,1488.0,0.37767791748046875,1271.9276757240295
26000,0.73478824,0.00029850332,-6.1829724,42.566177,6.236369157675654,1488.0,-58.24643133580685,978.1219671964645
28000,0.61864483,0.00029838263,39.200245,35.502518,-14.706715304870158,1488.0,-14.706715047359467,998.3528747558594
30000,0.3261313,0.0002982617,49.272568,28.350622,416.75774292473216,1318.0,416.7577491402626,424.1702632904053
32000,0.5121888,0.0002981408,-1.7320733,40.88462,-14.85658384859562,1488.0,-14.856582313776016,26.296435952186584
34000,0.082129814,0.00029802008,26.500336,43.803318,29.44784816657193,1489.0,29.4478497505188,555.5390486717224
36000,0.5896601,0.00029790035,-2.4527745,62.571583,-197.94059027876938,1488.0,-197.9405729174614,690.3104145526886
38000,0.44960546,0.0002977808,42.09986,41.70294,15.707703845575452,1488.0,15.707703351974487,14.816231787204742
40000,0.069987446,0.00029766004,47.755245,40.40126,-422.37639612331986,1488.0,-422.376398563385,458.2518552541733
42000,0.8297586,0.00029754033,5.075422,51.79489,-385.2631358660292,1488.0,-385.2631339132786,274.7665758430958
44000,0.95757794,0.00029742072,57.24458,27.527758,-32.61131711828057,1488.0,-32.61131527274847,29.324182093143463
46000,0.30593988,0.00029730136,16.83155,40.880646,516.1743997887243,847.5,516.1743949651718,55.480215072631836
48000,0.5184611,0.0002971793,28.813946,58.344513,-234.843930063711,1488.0,-234.8439300954342,170.88727915287018
50000,0.5373992,0.00029705968,8.836893,29.689001,-218.4999058241956,1488.0,-218.4999053478241,818.270593881607
