Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
930000,-0.13029622,1.9223293,0.0002601836,-2.4139996542944573,998.0,-2.4139997363090515
932000,-0.11105328,1.9697388,0.00026009983,None,None,None
934000,-0.08753267,1.9100409,0.0002600117,-4.478125028588693,1282.5,-5.409500238175194
936000,-0.123048864,1.845335,0.00025993033,None,None,-1.6840001940727234
938000,-0.16900367,1.8444407,0.0002598429,-3.531199563469272,998.0,-3.5299999713897705
940000,-0.16779447,1.8672004,0.00025975527,-2.618250209328835,1596.0,-2.9229667522013187
942000,-0.16980664,1.9141066,0.00025967183,-1.8805998559837462,998.5,-1.880000114440918
944000,-0.12292162,1.8864125,0.00025958745,None,None,-1.8812000751495361
946000,-0.15517758,1.8604745,0.00025949723,-4.11312998032663,1082.8,-5.027749801675479
948000,-0.13448638,1.9762439,0.000259416,None,None,-2.741200029850006
950000,-0.13811664,1.950618,0.00025932986,-2.5755997441592626,998.0,None
952000,-0.16485277,1.9304789,0.00025923955,-7.291625182784628,1388.0,-4.93361247703433
954000,-0.17258424,1.9521928,0.00025915794,-1.9399998010630952,998.5,None
956000,-0.21129303,1.9678367,0.0002590726,-11.031500073033385,1038.0,-4.970500111579895
958000,-0.1827598,2.0160103,0.00025898663,-1.5395166193775367,1197.6666666666667,-1.6637500575743616
960000,-0.15436348,1.954225,0.00025890156,None,None,-1.4774000346660614
962000,-0.17804039,1.9395181,0.00025881318,-1.8826999082424056,1197.6666666666667,-1.7988500744104385
964000,-0.15282965,1.8723353,0.00025873014,None,None,-2.0504000186920166
966000,-0.10859059,2.0036287,0.00025864076,-1.7757666286779568,1197.3333333333333,-1.7928501069545746
968000,-0.10951141,2.0087264,0.00025855802,-1.8807501347037032,1596.0,-1.8111750753596425
970000,-0.112913914,1.9921362,0.00025847193,-1.403999901827774,998.0,None
972000,-0.12775221,1.8677851,0.00025838558,-1.487250106234569,1596.0,-1.431750084583958
974000,-0.108302854,2.058991,0.00025830066,-1.4320332988572773,1197.6666666666667,-1.3705000802874565
976000,-0.13564345,1.9845834,0.00025821576,None,None,-1.4628000855445862
978000,-0.11188235,1.9616427,0.00025812778,-1.2836666506094236,1197.3333333333333,-1.3499000780284405
980000,-0.10605618,1.9544472,0.00025804422,None,None,-1.1512000560760498
982000,-0.11994721,1.9121997,0.0002579549,-2.011266534042079,1197.6666666666667,-1.9046999216079712
984000,-0.08058458,1.8981141,0.0002578722,-2.200000180193456,1596.0,-2.2121999859809875
986000,-0.09504943,1.8778261,0.00025778604,-2.828399671969237,998.0,None
988000,-0.114109956,1.870132,0.00025769827,-6.716500137481489,928.5,-4.772449836134911
990000,-0.11475681,1.9099343,0.00025761547,-2.492549876876486,1197.6666666666667,-2.5152500197291374
992000,-0.14598122,1.8973218,0.00025752588,-11.23175009197439,875.0,-5.39804991086324
994000,-0.15927193,2.0251806,0.00025744294,-2.406399795494508,998.5,-2.406800150871277
996000,-0.12189015,1.9564842,0.0002573584,None,None,-2.4060001373291016
998000,-0.1299358,1.9202373,0.00025726875,-1.6053625047788955,1297.0,-1.6331250043585896
1000000,-0.18402682,1.8388777,0.00025718322,-10.866250069695525,347.0,-4.673816720644633
1002000,-0.17531681,1.9194263,0.0002571,-2.5119997214205796,998.5,-2.5107998847961426
1004000,-0.21134827,2.0190525,0.00025701383,-2.6717502023966517,1596.0,-2.5924750678241253
1006000,-0.18859984,1.9291077,0.00025692806,-2.8982665714769005,1197.3333333333333,-2.6540001034736633
1008000,-0.16062844,1.982014,0.00025684407,None,None,-3.0204001665115356
1010000,-0.19400981,1.8766166,0.0002567564,-1.707433300995035,1197.3333333333333,-2.1895001977682114
1012000,-0.18802914,1.936991,0.0002566724,-1.8667501442832872,1596.0,-1.5998499989509583
1014000,-0.16986886,1.9783033,0.00025658653,-1.9643997981329449,998.5,None
1016000,-0.16339026,1.8956722,0.00025650053,-6.794875131119625,1313.0,-4.379637561738491
1018000,-0.17766513,1.9927243,0.0002564144,-2.257999844936421,998.0,-2.25680011510849
1020000,-0.17290588,1.9261218,0.0002563297,None,None,-2.2592002153396606
1022000,-0.19754072,1.9152154,0.00025624284,-1.1731499815456725,1198.0,-1.332249976694584
1024000,-0.2137405,1.9271407,0.00025615605,-1.4072501041227952,1596.0,-1.1981499989827473
1026000,-0.16607517,1.9845144,0.00025607066,-2.2979997208021814,998.0,-2.298399806022644
1028000,-0.20523036,1.893494,0.0002559839,-11.921500157855917,1263.0,-7.109549939632416
1030000,-0.17343551,1.9772002,0.00025589747,-1.899066579634867,1197.3333333333333,-1.976000040769577
1032000,-0.1443125,1.9825745,0.00025581528,None,None,-1.745199739933014
1034000,-0.14847648,1.9885383,0.00025572837,-1.9040666015838117,1197.6666666666667,-1.597000077366829
1036000,-0.17825826,1.9354337,0.0002556421,-2.0392501466849353,1596.0,-2.0514834548036256
1038000,-0.14976153,1.9647725,0.0002555575,-2.447799699715688,998.0,None
1040000,-0.1717759,1.9739988,0.00025547054,-11.783000142866513,1070.0,-5.559533218542735
1042000,-0.19195637,1.957076,0.00025538402,-1.9723499126557726,1197.6666666666667,-1.9869250729680061
1044000,-0.18097958,1.9901325,0.0002553009,None,None,-1.9431999325752258
1046000,-0.20368044,1.939397,0.00025521187,-1.7963332868821453,1197.3333333333333,-1.7587000876665115
1048000,-0.18288563,1.9155035,0.0002551288,-2.281000163871795,1596.0,-2.0763001292943954
1050000,-0.1822336,1.935705,0.00025504286,-2.1655998303176602,998.0,None
1052000,-0.17513503,1.9602478,0.00025495657,-2.181500156992115,1596.0,-2.1709000567595163
1054000,-0.17961411,1.939605,0.0002548714,-4.470299973334477,1028.75,-6.554999887943268
1056000,-0.17346773,1.9684741,0.00025478654,None,None,-2.3856000900268555
1058000,-0.18282044,1.911437,0.00025469944,-2.0939998562826077,998.0,-2.092800199985504
1060000,-0.1911799,2.0138416,0.00025461425,-2.002750141575234,1596.0,-2.0489751547574997
1062000,-0.16237164,1.9321314,0.0002545258,-1.562316652300069,1197.6666666666667,-1.6690751612186432
1064000,-0.11689454,1.8595822,0.00025444353,None,None,-1.3488000631332397
1066000,-0.12139808,1.9172815,0.00025435665,-1.9984499369941962,1197.3333333333333,-1.6097500920295715
1068000,-0.15305431,1.9347857,0.00025427042,-1.548250109393848,1596.0,-1.9779500936468442
1070000,-0.12712124,1.9192584,0.00025418572,-1.255199882085435,998.0,None
1072000,-0.12294389,1.9346548,0.00025410065,None,None,-1.2552000433206558
1074000,-0.10166069,1.9429123,0.00025401014,-1.2976000027920236,1297.25,-1.2950667461069922
1076000,-0.21740766,1.9132069,0.00025392565,-10.83800005930243,797.0,-6.071600362658501
1078000,-0.20069167,1.9275855,0.00025384288,-1.788199861315661,998.0,None
1080000,-0.08811431,1.9767172,0.00025375714,-1.6010001150134485,1596.0,-1.7258000696698825
1082000,-0.09946288,1.9349034,0.0002536715,-1.228933311504079,1198.0,-1.3240000819787383
1084000,-0.081059456,2.0149522,0.00025358624,None,None,-1.1814000606536865
1086000,-0.12571931,1.9049312,0.00025349497,-3.79449999021017,1081.5,-6.135000306618167
1088000,-0.12421167,1.8782547,0.0002534148,None,None,-1.45400008559227
1090000,-0.07974134,1.9982563,0.00025332757,-1.7507998648943612,998.0,-1.7512000799179077
1092000,-0.091483414,1.9801553,0.0002532422,-1.5727501130313613,1596.0,-1.6615751385688782
1094000,-0.15371996,1.9744767,0.00025315228,-4.619162409559067,964.75,-5.213950152198474
1096000,-0.11728436,1.9693044,0.00025307186,None,None,-2.8348000049591064
1098000,-0.084854156,1.9630704,0.00025298446,-1.7465998722909717,998.0,-1.744800090789795
1100000,-0.17862546,1.9739299,0.00025289686,-2.1768751626077574,1596.0,-2.0340501765410104
1102000,-0.19794944,1.9806774,0.00025281342,-2.419999824720435,998.5,-2.418800115585327
1104000,-0.18017241,1.934622,0.00025272823,-11.342250096146017,897.0,-6.881724834442139
1106000,-0.15722334,1.9601749,0.00025264057,-1.873933296262597,1197.3333333333333,-1.8971000388264656
1108000,-0.15682626,1.974656,0.0002525575,None,None,-1.827600121498108
1110000,-0.09749085,2.0021775,0.00025246656,-4.172174926534353,923.5,-6.168750137090683
1112000,-0.14001627,2.0115447,0.00025238545,-2.485000187443802,1596.0,-2.27873332798481
1114000,-0.143727,1.9742708,0.0002522978,-5.037049918639241,944.0,-11.14075118303299
1116000,-0.10149588,2.0147705,0.00025221452,None,None,-1.9852000176906586
1118000,-0.12690784,1.974207,0.00025212794,-2.1218332530212742,1197.6666666666667,-1.8415000289678574
1120000,-0.13653755,1.9642872,0.00025204147,-1.9435001416131854,1596.0,-2.1558333933353424
1122000,-0.16657007,2.0018365,0.00025195596,-2.083199857195723,998.5,-2.0820001363754272
1124000,-0.15909056,1.9919925,0.00025187162,None,None,-2.084400177001953
1126000,-0.131707,1.9950395,0.000251781,-2.248424975776288,1297.0,-2.22283344467481
1128000,-0.1578654,2.0033832,0.00025170017,None,None,-2.3251999616622925
1130000,-0.18693604,2.0056543,0.0002516133,-1.7039998831023695,998.0,-1.7044001817703247
1132000,-0.15467271,1.9256577,0.00025152648,-1.7631251244747546,1596.0,-1.7432835350433986
1134000,-0.17645639,2.0088286,0.00025144216,-1.9999998633138603,998.5,None
1136000,-0.14917767,2.001802,0.00025135724,None,None,-2.0000001192092896
1138000,-0.15579256,2.032972,0.0002512697,-1.4090999787828575,1197.3333333333333,-1.6225001271814108
1140000,-0.1632218,2.0168073,0.0002511856,-1.6175001144292764,1596.0,-1.4074334055185318
1142000,-0.15374188,1.9747108,0.0002510986,-0.9133999373152619,998.5,-0.9128000736236572
1144000,-0.15560582,2.0034146,0.00025101364,-1.5055001100699883,1596.0,-1.2097500637173653
1146000,-0.13234878,1.963216,0.00025092225,-3.925287445556023,927.5,-5.829374920576811
1148000,-0.1305514,2.0184557,0.0002508429,None,None,-2.0212000608444214
1150000,-0.12560673,1.996501,0.00025075645,-0.6534499976745186,1197.6666666666667,-0.9067500531673431
1152000,-0.12160127,1.9691359,0.00025067042,-0.7067500500124879,1596.0,-0.5867833408216635
1154000,-0.12268787,2.0509224,0.0002505845,-1.3511999074398773,998.5,-1.3512001037597656
1156000,-0.13147688,1.9338433,0.00025049993,None,None,-1.3512001037597656
1158000,-0.10684667,1.9861804,0.00025041014,-4.7360499709539,1277.5,-5.494999627272288
1160000,-0.1206255,1.9788032,0.00025032848,None,None,-2.459200143814087
1162000,-0.10202976,1.968633,0.00025024166,-2.180199850758072,998.5,None
1164000,-0.1193406,1.9830097,0.00025015484,-1.9918751415825682,1596.0,-2.086037665605545
1166000,-0.14545831,1.9656972,0.00025007056,-2.5503997873165645,998.0,None
1168000,-0.11561367,1.920039,0.00024998555,None,None,-2.550400048494339
1170000,-0.108464286,1.9747405,0.0002498981,-1.4676666579034645,1197.3333333333333,-1.943000242114067
1172000,-0.09945737,1.8873705,0.00024981247,-2.0230001473391894,1596.0,-1.4943334522346656
1174000,-0.09445739,1.9365091,0.00024972705,-1.807999831464258,998.5,-1.80799999833107
1176000,-0.12828185,1.9642774,0.00024964195,-1.5077501118939836,1596.0,-1.657875046133995
1178000,-0.09039271,1.9493245,0.00024955373,-1.3050833021698054,1197.6666666666667,-1.4392501004040241
1180000,-0.11833319,1.9964225,0.00024947117,None,None,-1.2380000352859497
1182000,-0.11479658,1.9047079,0.0002493846,-1.9683166140845667,1198.0,-1.7617500275373459
1184000,-0.14169553,1.9985701,0.00024929823,-1.8810001347737852,1596.0,-2.0080667783816657
1186000,-0.1583474,1.9814688,0.00024921258,-2.17159975800314,998.0,-2.171999931335449
1188000,-0.12752104,2.0076127,0.00024912824,None,None,-2.171199917793274
1190000,-0.12778972,1.9803195,0.00024903784,-2.1733125098689925,1297.0,-2.2404168204714856
1192000,-0.13138421,1.9304367,0.00024895676,None,None,-1.972000002861023
1194000,-0.13356495,1.9243282,0.00024887,-1.7363998298242223,998.5,None
1196000,-0.13872446,1.9537047,0.00024878062,-6.638375122245634,1462.5,-4.1873876098543406
1198000,-0.10691596,1.9817419,0.00024869826,-2.3153998398629483,998.0,-2.3148001432418823
1200000,-0.09151279,1.9692823,0.00024861385,None,None,-2.3160001039505005
1202000,-0.09478058,1.9628972,0.0002485245,-2.056174994344474,1297.25,-1.9377501420676708
1204000,-0.12024641,1.9310151,0.00024844235,None,None,-2.1746002435684204
1206000,-0.10696608,1.9102223,0.00024835585,-2.5407997981383232,998.0,None
1208000,-0.11942988,1.9996033,0.00024826956,-2.3695001711021177,1596.0,-2.455150067806244
1210000,-0.15467691,1.9390721,0.0002481848,-1.3315999095066218,998.0,None
1212000,-0.14537075,1.943862,0.00024809944,None,None,-1.33160001039505
1214000,-0.13792679,1.9943734,0.00024801368,-1.4330001029738924,1597.0,-1.4330000281333923
1216000,-0.1076849,1.9424653,0.00024792884,-1.492399883994949,998.5,-1.4726000030835469
1218000,-0.11267985,1.9693245,0.00024784188,-1.6655998303031083,998.0,None
1220000,-0.13814753,2.0114553,0.00024775654,None,None,-1.665599912405014
1222000,-0.18074284,1.969359,0.00024766446,-4.4580749972956255,1295.75,-5.257966650029023
1224000,-0.14998502,2.0119262,0.00024758503,None,None,-2.0584000945091248
1226000,-0.08959821,1.9507279,0.0002474976,-2.404799805764924,998.0,-2.4060001373291016
1228000,-0.10362312,1.9522827,0.00024740904,-5.092416797075809,1166.3333333333333,-4.420212656259537
1230000,-0.115432,1.9585102,0.00024732723,-2.218399777149898,998.0,None
1232000,-0.08714618,1.9909801,0.00024724213,None,None,-2.2184000313282013
1234000,-0.08689135,1.9412559,0.0002471542,-1.9232832591612048,1197.6666666666667,-1.8921250030398369
1236000,-0.111476615,1.9571857,0.00024706827,-1.7725001346552745,1596.0,-1.8790500834584236
1238000,-0.097779095,1.963886,0.0002469837,-1.705199871896184,998.0,-1.7052000761032104
1240000,-0.12416606,1.9975452,0.00024689524,-6.988375145054306,1434.5,-5.227317025264104
1242000,-0.12730432,1.9167398,0.00024681303,-2.354399820047547,998.5,None
1244000,-0.11564052,1.9915882,0.00024672772,None,None,-2.354400098323822
1246000,-0.090001784,2.0181193,0.0002466413,-1.6105625043419423,1297.25,-1.673125060275197
1248000,-0.13254692,2.0378633,0.000246552,-10.738000053388532,327.0,-4.61133337020874
1250000,-0.13698894,1.9071696,0.00024646934,-1.4831998890149407,998.0,-1.484000027179718
1252000,-0.10228504,1.9944742,0.00024638482,None,None,-1.4824000298976898
1254000,-0.1618108,2.0042558,0.00024629346,-4.272237477023737,1257.0,-5.065249755978584
1256000,-0.11559154,2.0207999,0.0002462133,None,None,-1.8931999802589417
1258000,-0.13383737,1.9556907,0.00024612623,-1.6683998710650485,998.0,-1.6684001088142395
1260000,-0.11713781,1.9801799,0.00024603918,-1.3190000961185433,1596.0,-1.435466746489207
1262000,-0.13542986,1.996642,0.00024595525,-1.1673998824553564,998.5,None
1264000,-0.11976609,1.9829099,0.00024587044,None,None,-1.167399913072586
1266000,-0.14507489,1.9503953,0.00024578045,-4.265912486087473,1213.75,-5.013217056790988
1268000,-0.12474307,1.983125,0.00024569902,None,None,-2.0239999890327454
1270000,-0.117486715,1.9777378,0.00024561203,-2.105999856183189,998.0,-2.106800079345703
1272000,-0.06979921,2.0022929,0.0002455251,-1.8757501325308112,1596.5,-1.952233428756396
1274000,-0.087355964,2.02361,0.00024544098,-1.9651998049666872,998.5,None
1276000,-0.12450656,1.9912263,0.00024535606,None,None,-1.9651999175548553
1278000,-0.10890084,2.002079,0.00024526837,-1.7326000145840226,1297.25,-1.860000103712082
1280000,-0.08490873,2.0079348,0.00024518464,None,None,-1.6052000671625137
1282000,-0.06649189,2.0513937,0.00024509773,-2.0949997450661613,998.5,-2.094399929046631
1284000,-0.07391247,1.998678,0.00024501156,-12.160500170779414,1458.0,-7.128050059080124
1286000,-0.09513432,2.04575,0.00024492285,-4.567624932009494,1035.25,-5.241633370518684
1288000,-0.07917964,1.9076018,0.00024484168,None,None,-2.545599937438965
1290000,-0.15459844,1.9961536,0.00024475472,-0.7443999493552838,998.0,-0.7447999715805054
1292000,-0.14274874,1.9171818,0.0002446678,-0.9963750708848238,1596.0,-0.9122500792145729
1294000,-0.10273698,1.9444753,0.0002445837,-1.8227998207439668,998.5,None
1296000,-0.13918868,1.9878913,0.00024449526,-11.370250106119784,856.0,-5.005283306042354
1298000,-0.089372195,1.9981403,0.0002444108,-1.522483299932598,1197.3333333333333,-1.7142500802874565
1300000,-0.060823403,2.010011,0.0002443273,None,None,-1.4266000986099243
1302000,-0.121247746,1.9538602,0.0002442399,-1.6356332817716368,1197.6666666666667,-1.3024999797344208
1304000,-0.12510866,2.0320117,0.00024415512,-2.1930001557047945,1596.0,-1.9324667900800705
1306000,-0.12823266,2.044517,0.00024406966,-2.562799818930216,998.0,None
1308000,-0.15881681,1.988599,0.00024398399,-2.5622501817997545,1596.0,-2.5626168996095657
1310000,-0.21707153,1.9371275,0.000243894,-4.336962444976962,947.0,-6.375124853104353
1312000,-0.12727293,2.0442693,0.00024381297,None,None,-2.298799991607666
1314000,-0.10078429,1.9771075,0.00024372352,-5.083783259246654,1049.0,-6.645275063812733
1316000,-0.10494375,2.006143,0.00024364139,None,None,-1.9607999324798584
1318000,-0.07767657,2.0417109,0.00024355203,-1.8262332909216639,1197.3333333333333,-1.8085500989109278
