Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
35000,2.051631,0.00029862046,-3.6648026,-2.0949498533736914,998.25,-2.0949501246213913
40000,1.9663885,0.00029840472,-3.3994203,-2.493224732359522,998.25,-2.4932249635457993
45000,2.0420828,0.00029819112,-5.142893,-1.6018373706610873,998.125,-1.7830800533294677
50000,1.9746568,0.00029797823,-3.2344203,-3.019974692258984,998.25,-2.160199999809265
55000,2.00799,0.00029776318,-2.9419982,-2.1450497451223782,998.25,-2.3196399092674254
60000,2.007062,0.0002975474,-2.6257305,-1.3846249054331565,998.25,-1.384625032544136
65000,1.9700546,0.0002973338,-2.0221817,-2.5504872286401223,998.125,-2.478679859638214
70000,1.9644134,0.00029712092,-2.3406048,-2.4366996635653777,998.25,-2.5534498393535614
75000,1.9269873,0.00029690526,-1.1588118,-4.360699735768139,807.4,-4.040016646186511
80000,1.9886209,0.00029668343,-1.1288613,-4.033559833670734,904.2,-4.52855010330677
85000,2.0467966,0.000296472,-2.2969294,-1.9236712875967246,998.1428571428571,-1.9585834443569183
90000,1.9554592,0.0002962548,-2.693909,-2.928499733294302,998.25,-2.5803000728289285
95000,1.9532164,0.0002960422,-2.006544,-1.9223498686333187,998.0,-1.9223501682281494
100000,1.9973326,0.00029582632,-1.8515478,-1.3896199044247624,998.4,-1.3367001116275787
105000,1.9425255,0.00029561465,-2.0990782,-2.9475426271923686,998.1428571428571,-2.6813668558994928
110000,1.9996637,0.00029539745,-2.4637794,-1.5042248812460457,998.25,-2.027133345603943
115000,1.905178,0.00029518487,-1.9079227,-0.869674940535333,998.0,-0.8696750551462173
120000,1.9566526,0.000294969,-1.9349257,-2.1058198112237734,998.4,-1.9642250165343285
125000,1.8985478,0.00029475734,-1.7912438,-3.1827138642797115,998.1428571428571,-3.303666333357493
130000,1.9402176,0.00029454014,-1.5084193,-2.7073997808838612,998.25,-2.6597999930381775
135000,1.8676547,0.00029432756,-1.60661,-2.5529747712935205,998.0,-2.552975073456764
140000,1.8717408,0.00029411173,-1.3227619,-3.072319670813158,998.4,-3.2563998997211456
145000,1.9005371,0.00029390003,-1.3967905,-2.439314096567354,998.1428571428571,-2.2756167948246
150000,1.9338295,0.00029368282,-1.6067808,-2.3426997296264744,998.25,-2.5213833153247833
155000,1.8970085,0.00029347028,-0.6847526,-3.409299432845728,998.0,-3.4092993289232254
160000,1.8652811,0.00029325442,-0.75781244,-2.6126797327713573,998.4,-2.6874500066041946
165000,1.8790641,0.00029304274,-0.88460845,-2.140342680321607,998.1428571428571,-2.310950050751368
170000,1.8184422,0.00029282548,-1.0518647,-1.6979998548922595,998.25,-1.7037167350451152
175000,1.8364954,0.0002926129,-0.8725327,-1.696674860548228,998.0,-1.6966750025749207
180000,1.9544663,0.00029239708,-0.44973344,-2.6284997790004128,998.4,-2.408300071954727
185000,1.8266621,0.00029218543,-0.7135705,-2.871313985179378,998.1428571428571,-3.0935164988040924
190000,1.9344578,0.0002919682,-0.568967,-2.2859498090983834,998.25,-2.365200082461039
195000,1.9312141,0.00029175563,-0.34944946,-2.6981997471375507,998.0,-2.698200047016144
200000,1.9576265,0.00029153973,-0.7719004,-2.008559848711593,998.4,-1.9282501339912415
205000,1.8982657,0.00029132815,-0.79924184,-2.4140426036111813,998.1428571428571,-2.2967500189940133
210000,1.9413449,0.00029111086,-0.5396657,-2.4734496533637866,998.25,-2.5568998555342355
215000,1.8635044,0.00029089832,-0.8527058,-1.8079498519800836,998.0,-1.807950034737587
220000,1.8892455,0.00029068245,-0.6717318,-2.3074398328899406,998.4,-2.214150160551071
225000,1.9156579,0.00029047078,-0.50538117,-2.7168140558392873,998.1428571428571,-2.6657667557398477
230000,1.9458003,0.00029025355,-0.2238537,-2.551049748828518,998.25,-2.651316672563553
235000,1.9679077,0.00029004097,-0.209374,-2.11394978575845,998.0,-2.113949954509735
240000,1.907102,0.00028983006,-0.53626496,-4.530559644487221,962.8,-4.530559623241425
245000,1.8902333,0.00028961827,-0.662723,-2.4697854171889566,998.1428571428571,-3.0302247405052185
250000,1.9706657,0.00028940508,-0.22326906,-1.620149874514027,998.5,-1.6735667486985524
255000,1.9527422,0.0002891898,-0.24119464,-2.5220597089384684,998.0,-2.3695165812969208
260000,1.8971432,0.00028897426,-0.3052912,-2.650949818234949,998.25,-2.6509501934051514
265000,1.9278142,0.00028876096,-0.22956984,-1.8362712973944977,998.1428571428571,-1.69150011241436
270000,1.913278,0.0002885478,-0.27797538,-2.420449834498868,998.5,-2.2141667902469635
275000,1.9056777,0.00028833246,-0.36656353,-1.5402998716628644,998.0,-1.6977000484863918
280000,1.8709437,0.00028811698,-0.37917942,-1.6059748645930085,998.25,-1.6059750318527222
285000,1.8797262,0.00028790237,-0.046389543,-3.6971747752686497,906.875,-4.098066747188568
290000,1.9104356,0.00028767317,0.0066336216,-1.8975998151436215,998.25,-2.096566677093506
295000,1.9113103,0.00028746203,-0.11472888,-2.0497248144238256,998.25,-2.0497250258922577
300000,1.7722732,0.0002872445,0.19700883,-2.9381596766179428,998.2,-2.987324982881546
305000,1.8004708,0.0002870346,-0.2721838,-1.882171282249536,998.1428571428571,-2.131766696770986
310000,1.7311478,0.0002868159,-0.4567855,-2.900899792308337,998.25,-2.4549501736958823
315000,1.7568984,0.00028660466,-0.26721781,-2.5862997813383117,998.25,-2.586300015449524
320000,1.7529056,0.0002863872,-0.33257863,-1.7056598667870275,998.2,-1.5147000961005688
325000,1.831005,0.0002861773,-0.2346128,-2.565385495632654,998.1428571428571,-2.602950076262156
330000,1.9316373,0.00028595855,-0.37283534,-2.0987998523560236,998.25,-2.2007834812005362
335000,1.8415807,0.0002857474,-0.4377037,-3.2553745540135424,998.25,-3.255374640226364
340000,1.7708946,0.00028552985,-0.28411466,-1.7614598763058893,998.2,-1.825875073671341
345000,1.8380029,0.00028531998,-0.1658198,-2.7626568865297094,998.1428571428571,-2.3277333478132882
350000,1.8680867,0.00028510124,-0.25997186,-2.828624645655509,998.25,-3.031749904155731
355000,1.7667544,0.00028489006,-0.20593424,-2.387424777902197,998.25,-2.3874250054359436
360000,1.7820809,0.00028467257,-0.3682221,-1.8338598744943737,998.2,-1.730650171637535
365000,1.8226017,0.00028446267,-0.29977992,-2.0504855694265904,998.1428571428571,-2.048283497492472
370000,1.6161485,0.00028424393,-0.19148166,-2.578349749543122,998.25,-2.4373000860214233
375000,1.7838284,0.00028403272,-0.26697022,-1.5365498778628535,998.25,-1.5365500301122665
380000,1.8489645,0.00028381523,-0.31967142,-1.7594798527366948,998.2,-1.4924500584602356
385000,1.8840077,0.0002836054,-0.25231212,-2.1299569724485212,998.1428571428571,-2.4023000597953796
390000,1.7618155,0.00028338667,-0.28480896,-2.796174678078387,998.25,-2.4180332521597543
395000,1.7593925,0.0002831754,-0.2525279,-2.431049801023619,998.25,-2.4310500025749207
400000,1.8665086,0.0002829579,-0.23894727,-1.8577598707168363,998.2,-1.7675500959157944
405000,1.9081929,0.00028274805,-0.2354346,-1.3817713318899874,998.1428571428571,-1.634950098892053
410000,1.9410831,0.0002825293,-0.23884933,-1.5466748947146698,998.25,-1.378000075618426
415000,1.8324089,0.0002823181,-0.24087429,-2.0342248597953585,998.25,-2.0342250615358353
420000,1.7890769,0.0002821006,-0.27559036,-2.545039824192645,998.2,-2.522700160741806
425000,1.8221062,0.00028189074,-0.27691823,-2.073485565833315,998.1428571428571,-2.114066789547602
430000,1.8497452,0.000281672,0.045082774,-2.0032498307773494,998.25,-2.079566737016042
435000,1.8722742,0.0002814608,-0.16445224,-1.2857249120716006,998.25,-1.2857250645756721
440000,1.768694,0.00028125755,-0.4052952,-4.277399828721537,918.0,-4.277400016784668
445000,1.8490204,0.00028104486,-0.25259662,-3.765912165570626,897.5,-4.709979748725891
450000,1.9305907,0.00028083194,-0.26881236,-2.3593747870181687,998.25,-2.2440831611553826
455000,1.8938215,0.00028061657,-0.20849976,-1.4440198927142773,998.0,-1.6284167369206746
460000,1.7397639,0.00028040115,-0.10503423,-2.3471747593284817,998.25,-2.3471749424934387
465000,1.783361,0.0002801879,-0.12237896,-2.3277140509287295,998.2857142857143,-2.769325003027916
470000,1.9303563,0.0002799746,-0.16219802,-1.9446998556086328,998.25,-1.848500003417333
475000,1.8511791,0.0002797593,-0.24262044,-2.0634798590152057,998.0,-2.036983460187912
480000,1.8854243,0.00027954386,-0.20230107,-1.569999891005864,998.25,-1.570000097155571
485000,1.8660147,0.00027933053,-0.24961972,-1.5914427484676708,998.2857142857143,-1.2653500437736511
490000,1.8226985,0.00027911732,-0.28712904,-2.584274650180305,998.25,-2.3128166794776917
495000,1.8949001,0.00027890198,-0.340797,-1.4900198964576703,998.0,-1.664833351969719
500000,1.95362,0.00027868655,-0.2928651,-2.0070498469867744,998.25,-2.0070500671863556
505000,1.8309058,0.00027847325,-0.27803487,-1.978728424541519,998.2857142857143,-2.253525123000145
510000,1.8442531,0.00027825998,-0.28670144,-1.3291249091998907,998.25,-1.4897667666276295
515000,1.8294245,0.00027804464,-0.3440072,-1.0474999240599572,998.0,-1.0754000395536423
520000,1.8784757,0.00027782927,-0.2643903,-2.5936746721636155,998.25,-2.5936748385429382
525000,1.784514,0.0002776159,-0.42295384,-2.3539569342974573,998.2857142857143,-1.969675064086914
530000,1.8359112,0.0002774027,-0.41168553,-2.213549844811496,998.25,-2.570833404858907
535000,1.7968818,0.00027718736,-0.24847503,-2.364799803419737,998.0,-2.3087001045544944
540000,1.8233714,0.0002769719,-0.30892837,-1.7032248772520688,998.25,-1.7032250761985779
545000,1.8737625,0.0002767586,-0.30380958,-2.153585489178243,998.2857142857143,-2.2705501168966293
550000,1.9209355,0.00027654535,-0.2752468,-2.340399807515496,998.25,-2.1898666322231293
555000,1.8510479,0.00027633004,-0.21112569,-2.4590798128105233,998.0,-2.418450097242991
560000,1.8704916,0.00027611456,-0.1535835,-2.6797247867798433,998.25,-2.6797251403331757
565000,1.906251,0.0002759013,-0.1630408,-2.407628329853261,998.2857142857143,-2.8060247898101807
570000,1.8659784,0.00027568804,-0.15511067,-1.8930748427301296,998.25,-1.8597000936667125
575000,1.8496426,0.0002754717,-0.22799109,-4.849119795497972,932.8,-4.381500194470088
580000,1.9461272,0.0002752441,-0.2203238,-1.4651998862318578,998.5,-1.4652001112699509
585000,1.9505459,0.00027503382,-0.21653692,-1.7510569949808996,998.1428571428571,-1.9021800756454468
590000,1.7726859,0.00027481746,-0.17067304,-2.1955197352042886,998.2,-1.8289665480454762
595000,1.9043987,0.00027460585,-0.18476266,-2.188149840956612,998.0,-2.3005800247192383
600000,1.8966126,0.00027438678,-0.24295151,-3.0753746871632757,998.5,-3.0753749907016754
605000,1.8558804,0.0002741765,-0.25303382,-3.0160139235252115,998.1428571428571,-3.18185977935791
610000,1.8516576,0.00027396012,-0.28754196,-3.5989595512859522,998.2,-3.250966489315033
615000,1.791873,0.00027374853,-0.23392442,-3.1562996749125887,998.0,-3.263399910926819
620000,1.8945904,0.00027352947,-0.21187794,-2.02297483322036,998.5,-2.022975094616413
625000,1.8954564,0.00027331922,-0.14191544,-1.6027284448958068,998.1428571428571,-1.2704200148582458
630000,1.7843233,0.00027310543,-0.23456225,-5.136619714985136,992.4,-2.9106167356173196
635000,1.8600578,0.00027289343,-0.2659896,-1.7146998252646881,998.25,-3.9890398740768434
640000,1.8663962,0.00027267486,-0.23206142,-2.0484498278601677,998.25,-2.0484500378370285
645000,1.778805,0.0002724641,-0.16393733,-1.9530427168605715,998.1428571428571,-1.8053000897169114
650000,1.646584,0.00027225725,-0.25836098,-4.703099705209024,936.4,-4.219550043344498
655000,1.8542584,0.0002720438,-0.26077414,-2.1117498550520395,998.25,-2.2580001056194305
660000,1.9116495,0.000271828,-0.2033207,-2.169449849963712,998.25,-2.1694501787424088
665000,1.8458374,0.00027161415,-0.30847457,-3.7534775553924393,893.7777777777778,-4.317766765753428
670000,1.7260695,0.00027140148,-0.26378968,-3.8101994581666077,998.25,-3.215849816799164
675000,1.8417277,0.00027118647,-0.20043072,-1.8536997981063905,998.0,-2.2470397651195526
680000,1.8100458,0.00027097072,-0.1422201,-2.852149752114201,998.25,-2.8521500527858734
685000,1.8534445,0.0002707571,-0.15904073,-1.930662368060439,998.25,-2.183460164070129
690000,1.8393769,0.00027054403,-0.216194,-4.834979613631731,822.0,-3.600557063307081
695000,1.9259725,0.00027032915,-0.22730967,-1.7109748833972844,998.0,-2.0685800194740294
700000,1.8712248,0.0002701134,-0.2473723,-2.259599836412235,998.25,-2.2596001625061035
705000,1.9302707,0.00026989824,-0.31960016,-3.076099869020254,968.625,-3.843719959259033
710000,1.8683935,0.00026968686,-0.2195491,-1.942149712362152,998.5,-1.875199943780899
715000,1.95237,0.00026947184,-0.19291785,-1.4237998795870226,998.0,-1.5205600202083587
720000,1.9473256,0.00026925607,-0.27082175,-2.8523496908019297,998.25,-2.85234996676445
725000,1.8969202,0.00026904244,-0.1967611,-1.990924862329848,998.125,-1.7278001308441162
730000,1.8796792,0.00026882955,-0.23980968,-1.997574833301769,998.5,-2.211516817410787
735000,1.8730459,0.00026861453,-0.31080547,-1.9242248508744524,998.0,-1.941300106048584
740000,1.9175764,0.00026839878,-0.26451606,-2.0397248417139053,998.25,-2.039725035429001
