Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Losses/Value Loss,Losses/Policy Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
5115000,-0.092321664,1.6433744,8.087293e-05,0.00014301798,0.034835074,-1.1534499210611102,1996.25,-1.1534500494599342
5120000,-0.09286855,1.5686476,8.065895e-05,0.0002837444,0.032613497,None,None,None
5125000,-0.09420976,1.7077568,8.044232e-05,0.00026103875,0.042395413,-2.438299758156063,1996.0,-2.438299998641014
5130000,-0.096154116,1.6295437,8.023048e-05,0.0002552117,0.031228935,-2.459062252775766,1996.25,-2.4591499269008636
5135000,-0.09838517,1.5707434,8.001706e-05,0.00019141196,0.037461307,None,None,-2.458974927663803
5140000,-0.09450601,1.5856624,7.979975e-05,0.0002030136,0.033385415,-1.9061498063674662,1996.25,-1.906149961054325
5145000,-0.0945651,1.5096015,7.963019e-05,None,None,None,None,None
5150000,-0.10452495,1.6622514,7.941356e-05,0.00010282784,0.03567674,-1.5726248546670831,1996.25,-1.5726249739527702
5155000,-0.10421462,1.5631515,7.9158475e-05,0.00019608795,0.038940284,-2.5237372860719915,1996.25,-2.523737572133541
5160000,-0.08962032,1.698347,7.894448e-05,0.00016952168,0.036669306,None,None,None
5165000,-0.088957615,1.5796092,7.872786e-05,0.00016861982,0.037635125,-1.1105124229579815,1996.0,-1.1105125211179256
5170000,-0.09835859,1.5461555,7.8516015e-05,0.0001884603,0.035172842,-2.322037309215375,1996.25,-2.3220501244068146
5175000,-0.09824262,1.5759314,7.830261e-05,0.0002230553,0.04157279,None,None,-2.3220251202583313
5180000,-0.09937607,1.6331122,7.808527e-05,0.00031983558,0.038986728,-2.0084498391843226,1996.25,-2.0084500685334206
5185000,-0.107756354,1.6294351,7.791573e-05,None,None,None,None,None
5190000,-0.11083081,1.6293324,7.769911e-05,0.00022947778,0.034942925,-2.4039871631721326,1996.25,-2.4039872586727142
5195000,-0.10306747,1.5211643,7.744403e-05,0.00023617834,0.03469435,-2.0797498057327175,1996.25,-2.07974998280406
5200000,-0.10555832,1.5050343,7.723002e-05,0.00018161739,0.03103857,None,None,None
5205000,-0.08946334,1.6016831,7.701341e-05,0.00012295661,0.038773816,-1.537662394624931,1996.0,-1.5376625955104828
5210000,-0.09220322,1.5886248,7.680155e-05,0.00015542778,0.030746503,-1.7297248798276996,1996.25,-1.7297251522541046
5215000,-0.09291354,1.6006403,7.658816e-05,0.00018984672,0.03367953,None,None,-1.7297250777482986
5220000,-0.09020925,1.6120027,7.637084e-05,0.00015054882,0.034118127,-1.8299623106468061,1996.25,-1.8299623727798462
5225000,-0.096033484,1.6236211,7.620127e-05,None,None,None,None,None
5230000,-0.09807407,1.5893725,7.598466e-05,0.0001446466,0.035235923,-1.8881623497509281,1996.25,-1.8881625607609749
5235000,-0.10178101,1.4924124,7.5729564e-05,0.00034322272,0.03018026,-2.1841873122648394,1996.25,-2.184187561273575
5240000,-0.09955708,1.6091429,7.551556e-05,0.0002414806,0.031466004,None,None,None
5245000,-0.10462518,1.6124934,7.529894e-05,0.00023290231,0.03215077,-2.2735122596022848,1996.0,-2.273512475192547
5250000,-0.09377535,1.6248335,7.508709e-05,0.00017695878,0.034313396,-1.7153498447914899,1996.25,-1.7153750136494637
5255000,-0.09359826,1.5976492,7.48737e-05,0.00040837555,0.035543934,None,None,-1.7153249680995941
5260000,-0.11717465,1.5305446,7.465636e-05,0.00036005452,0.035396125,-2.5126122654182836,1996.25,-2.5126124545931816
5265000,-0.09766209,1.6342596,7.4486794e-05,None,None,None,None,None
5270000,-0.10021445,1.5841316,7.427019e-05,0.00023470451,0.038679056,-2.1250248142423516,1996.25,-2.125025011599064
5275000,-0.09191573,1.5238737,7.401511e-05,0.00020301955,0.03802517,-1.8155623731508967,1996.25,-1.81556261703372
5280000,-0.102593325,1.5453476,7.3801115e-05,0.00017718783,0.029789044,None,None,None
5285000,-0.098144,1.645033,7.358448e-05,0.00020583271,0.0410376,-2.094474794695998,1996.0,-2.0944749414920807
5290000,-0.09746479,1.6560805,7.337264e-05,0.0001365673,0.035221543,-2.388637295749504,1996.25,-2.3885750770568848
5295000,-0.10437196,1.5430889,7.3203046e-05,0.00013403322,0.033037014,None,None,-2.388699918985367
5300000,-0.10207576,1.5895611,7.29864e-05,0.00024304805,0.036463298,-2.199649846283137,1996.25,-2.199650153517723
5305000,-0.105869986,1.5804299,7.277235e-05,None,None,None,None,None
5310000,-0.123176575,1.499862,7.2555726e-05,0.00031591853,0.03245346,-2.3082373079705576,1996.25,-2.308237597346306
5315000,-0.10498562,1.4604406,7.230065e-05,0.00028606527,0.037263572,-2.146049841725471,1996.25,-2.1460500806570053
5320000,-0.11593437,1.5576088,7.2086645e-05,0.00032528822,0.03525308,None,None,None
5325000,-0.099360466,1.6092764,7.187003e-05,0.00019626856,0.030721597,-2.6748372046859004,1996.0,-2.6748373582959175
5330000,-0.1121572,1.6001158,7.1658185e-05,0.00019300354,0.03844249,-2.007449818247551,1996.25,-2.0074249878525734
5335000,-0.109391704,1.7031764,7.14886e-05,0.00020944262,0.037249308,None,None,-2.007474958896637
5340000,-0.102512114,1.544912,7.127194e-05,0.00032272268,0.037080336,-2.558662257382821,1996.25,-2.558662548661232
5345000,-0.106866926,1.5610688,7.10579e-05,None,None,None,None,None
5350000,-0.10823293,1.6259136,7.084127e-05,0.00036389224,0.040816035,-2.4786246902149287,1996.25,-2.4786247983574867
5355000,-0.118435584,1.6126758,7.058619e-05,0.00063353265,0.031980455,-3.176324656640645,1996.25,-3.1763249188661575
5360000,-0.11307723,1.542212,7.0372196e-05,0.00045366306,0.040273823,None,None,None
5365000,-0.1066086,1.609969,7.015556e-05,0.00030072147,0.038052157,-1.8061248756712303,1996.0,-1.8061250895261765
5370000,-0.10756846,1.5777051,6.994374e-05,0.0002532168,0.035800777,-1.3267873741751828,1996.25,-1.326799988746643
5375000,-0.10171309,1.5783834,6.9774134e-05,0.00041512548,0.036579907,None,None,-1.3267749845981598
5380000,-0.10521244,1.4772607,6.9557485e-05,0.00026018973,0.033578523,-2.496612127029948,1996.25,-2.496612224727869
5385000,-0.10589806,1.5286249,6.934344e-05,None,None,None,None,None
5390000,-0.099862345,1.613784,6.9126814e-05,0.00034618998,0.03411796,-2.1075873179033806,1996.25,-2.107587546110153
5395000,-0.10256833,1.5242543,6.8871734e-05,0.00022217212,0.031053154,-1.625137388749863,1996.25,-1.62513754889369
