Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
2000,0.8121353,0.00029969972,-18380.093641015927,999.5,-7.995687,-17835.357421875
3000,0.04137643,0.00029879945,-19988.007623672485,999.0,-11.624399,-18924.82421875
4000,0.0071088914,0.00029819942,-19992.00762462616,999.0,-23.026905,-19988.00390625
5000,0.0010598182,0.00029759944,-19996.007627487183,999.0,-36.911045,-19992.00390625
6000,0.0001338481,0.00029699944,-20000.00762939453,1000.0,-51.595768,-19996.00390625
7000,1.5193742e-05,0.00029639882,-19984.00762271881,999.0,-66.18683,-20000.00390625
8000,1.664008e-06,0.0002957988,-19988.007623672485,999.0,-80.83025,-19984.00390625
9000,1.6813316e-07,0.00029519878,-19992.00762462616,999.0,-95.58114,-19988.00390625
10000,1.7294077e-08,0.00029459878,-19996.007627487183,999.0,-110.97372,-19992.00390625
11000,1.7552657e-09,0.0002939988,-20000.00762939453,1000.0,-126.43064,-19996.00390625
12000,1.7610904e-10,0.00029339825,-19984.00762271881,999.0,-141.85188,-20000.00390625
13000,1.8481645e-11,0.0002927982,-19988.007623672485,999.0,-157.32184,-19984.00390625
14000,0.0006824549,0.00029219827,-19992.00762462616,999.0,-173.22221,-19988.00390625
15000,0.00041154365,0.00029159817,-19996.007627487183,999.0,-679.633,-19992.00390625
16000,0.0002480084,0.0002909982,-20000.00762939453,1000.0,-731.80396,-19996.00390625
17000,0.00014887284,0.00029039758,-19984.00762271881,999.0,-784.01526,-20000.00390625
18000,8.930233e-05,0.0002897976,-19988.007623672485,999.0,-836.1929,-19984.00390625
19000,5.339207e-05,0.00028919757,-19992.00762462616,999.0,-888.39655,-19988.00390625
20000,3.1911328e-05,0.00028859766,-19996.007627487183,999.0,-940.56824,-19992.00390625
21000,1.9026533e-05,0.00028799762,-20000.00762939453,1000.0,-992.74677,-19996.00390625
22000,1.134713e-05,0.000287397,-19984.00762271881,999.0,-1044.975,-20000.00390625
23000,6.7404576e-06,0.000286797,-19988.007623672485,999.0,-1097.2104,-19984.00390625
24000,4.0134896e-06,0.000286197,-19992.00762462616,999.0,-1149.3788,-19988.00390625
25000,2.3617988e-06,0.00028559705,-19996.007627487183,999.0,-1201.557,-19992.00390625
26000,1.4442945e-06,0.00028499702,-20000.00762939453,1000.0,-1253.7517,-19996.00390625
27000,1.2681022e-13,0.00028439637,-19984.00762271881,999.0,-1305.9332,-20000.00390625
28000,4.216677e-14,0.0002837964,-19988.007623672485,999.0,-1507.7388,-19984.00390625
29000,1.3984292e-14,0.00028319642,-19992.00762462616,999.0,-1565.6471,-19988.00390625
30000,4.630317e-15,0.0002825964,-19996.007627487183,999.0,-1623.5802,-19992.00390625
31000,1.5349914e-15,0.0002819964,-20000.00762939453,1000.0,-1681.4854,-19996.00390625
32000,5.077317e-16,0.00028139583,-19984.00762271881,999.0,-1739.4357,-20000.00390625
33000,1.6782297e-16,0.00028079582,-19988.007623672485,999.0,-1797.3473,-19984.00390625
34000,5.5372466e-17,0.00028019585,-19992.00762462616,999.0,-1855.2905,-19988.00390625
35000,1.8292907e-17,0.00027959578,-19996.007627487183,999.0,-1913.1968,-19992.00390625
36000,6.0225155e-18,0.00027899584,-20000.00762939453,1000.0,-1971.1112,-19996.00390625
37000,1.9865716e-18,0.0002783952,-19984.00762271881,999.0,-2029.0825,-20000.00390625
38000,6.5319553e-19,0.00027779522,-19988.007623672485,999.0,-2087.0623,-19984.00390625
