Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
2000,0.71015614,0.0002999625,111.03773,-3.011086762024206,996.5,-2.974582850933075
4000,0.68824744,0.00029987676,111.94531,-2.9366103610009304,996.0,-3.0032282769680023
6000,0.8721416,0.00029979105,101.62842,-3.2322737462236546,996.0,-3.042452484369278
8000,0.91899025,0.00029970534,102.0883,-3.1769313859331305,996.0,-3.2036506831645966
10000,0.9958878,0.00029961963,95.8113,-2.905074905604124,996.0,-3.127173602581024
12000,1.0716481,0.0002995339,100.79924,-2.90485705404717,996.5,-2.8618645668029785
14000,1.0148835,0.0002994482,99.56984,-2.8069585572957294,996.0,-2.8273223638534546
16000,0.9715048,0.0002993625,98.99738,-2.811257949571882,996.0,-2.8437983095645905
18000,0.9691413,0.00029927673,93.09101,-2.853442680894659,996.0,-2.798908919095993
20000,0.9695322,0.000299191,81.96927,-2.809081392300868,996.0,-2.8333513736724854
22000,0.928209,0.00029910528,81.500786,-2.856736944115255,996.5,-2.863162338733673
24000,0.842724,0.00029901954,77.52811,-2.896012810175307,996.0,-2.8484869301319122
26000,0.85487133,0.00029893385,76.50255,-2.8450304466205125,996.0,-2.895050525665283
28000,0.86083776,0.00029884814,67.50076,-2.823007942031836,996.0,-2.8385890126228333
30000,0.8558864,0.0002987624,67.39015,-2.866166259656893,996.0,-2.8368102610111237
32000,0.68688357,0.00029867666,68.34319,-2.9666702901449753,996.5,-2.8742785155773163
34000,0.681621,0.00029859092,67.331955,-2.9250943028455367,996.0,-2.969211220741272
36000,0.621704,0.00029850524,65.70569,-2.972887509731663,996.0,-2.960849404335022
38000,0.621963,0.0002984195,65.67212,-2.912813253045897,996.0,-2.954911231994629
40000,0.5826987,0.00029833382,64.76906,-3.0243324471084634,996.0,-2.9722111225128174
42000,0.5861968,0.00029824808,64.92248,-2.95687474942315,996.5,-2.974870979785919
44000,0.51981753,0.0002981623,62.025215,-3.030978679038526,996.0,-2.9904263615608215
46000,0.50896096,0.00029807657,60.674538,-3.024803233158309,996.0,-3.053427219390869
48000,0.4926231,0.0002979909,57.735874,-2.959601379101514,996.0,-2.9626242220401764
50000,0.47115567,0.0002979052,55.517525,-3.0586578132897557,996.0,-2.9963459968566895
52000,0.51060766,0.00029781944,54.185577,-3.027050004689954,996.5,-3.0268455147743225
54000,0.5235514,0.00029773373,51.564796,-3.0011121152965643,996.0,-3.0726680159568787
56000,0.4863508,0.00029764796,50.741455,-2.9766562041913858,996.0,-2.935261994600296
58000,0.4222965,0.00029756228,47.677757,-3.1412671563120966,996.0,-3.090914487838745
60000,0.41073844,0.0002974766,47.48106,-3.154578746383777,996.0,-3.145015925168991
