Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward
2000,1.5253783,0.00029997082,3.1587877,11.616675,66.5255,0.049387902,1043.8589,2.2758987,4.5790000290144235,836.0,4.578999822959304,587.0
4000,1.0454053,0.00029990915,6.386112,67.66741,19.842533,0.051583946,395.53336,1.4703577,2.9932000234378697,675.3333333333334,2.993200014034907,681.0
6000,0.8953711,0.0002998485,7.37668,74.73441,8.110001,0.046735387,92.225266,1.059107,-0.4999499655532418,992.5,-0.4999500270932913,869.3651275634766
8000,0.60955906,0.0002997885,6.5085125,77.360306,43.01246,0.03598085,9.480572,1.3966342,-0.49964996557173436,992.0,-0.4996500238776207,316.45026993751526
10000,0.7625925,0.0002997285,5.329619,49.834736,34.855137,0.038023494,1.7813416,1.2544562,-0.49984996556304395,992.0,-0.4998500272631645,38.30440151691437
12000,0.13736284,0.00029966846,3.233336,21.221155,4.709042,0.04383008,1.9281311,0.7196288,-0.4997999655570311,992.5,-0.4998000245541334,44.59131717681885
14000,0.02478886,0.00029960842,1.3543704,10.598108,0.92726326,0.04555606,1.0033301,0.16244575,-0.49974996556557016,992.0,-0.4997500255703926,20.94355744123459
16000,0.2402111,0.00029954844,0.6503366,7.117845,0.93082285,0.04153479,1.3113782,0.24177891,-0.4999499655532418,992.5,-0.4999500270932913,25.741387486457825
18000,0.48560247,0.0002994884,0.509587,7.5405245,1.080821,0.04381463,1.0114706,0.5252974,-0.49964996557173436,992.0,-0.4996500238776207,26.041056156158447
20000,0.66143745,0.00029942842,1.7193241,13.097584,1.37268,0.040288426,2.950996,0.90128857,-0.49984996556304395,992.0,-0.4998500272631645,50.08230674266815
22000,0.9378909,0.0002993684,2.7981582,20.811647,4.704898,0.038861502,3.226745,1.4295261,-0.4997999655570311,992.5,-0.4998000245541334,110.76005399227142
24000,0.45694327,0.0002993084,0.091235355,7.91711,0.6406246,0.04785166,0.5330248,1.0038329,-0.49974996556557016,992.0,-0.4997500255703926,11.893769025802612
26000,0.42402738,0.00029924838,0.45193863,17.747925,4.6790686,0.05665373,0.69799495,0.55519587,-0.4999499655532418,992.5,-0.4999500270932913,13.828347206115723
28000,0.6558605,0.000299189,-0.94430226,21.19568,52.290676,0.049081534,126.214836,2.7635365,4.575450029256899,843.0,4.575449977070093,466.52616316080093
30000,0.75475144,0.0002991294,-0.10559527,18.146229,11.415959,0.048823908,9.686904,0.96545315,2.8906000305044777,878.6666666666666,4.585849929600954,259.7908480465412
32000,1.2484381,0.00029906913,0.81367654,13.632595,4.6452756,0.046803106,9.172111,1.5261915,-0.4997999655570311,992.5,-0.4999500270932913,221.55341601371765
34000,0.9069016,0.00029900912,1.1582155,15.295334,3.4754825,0.04961529,1.8957497,1.1856322,-0.49974996556557016,992.0,-0.4996500238776207,63.229810893535614
